experiment,hour,date,device_make,browser,aware
exposed,12,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,6,2020-07-04,Samsung SM-G960F,Facebook,True
control,9,2020-07-06,Generic Smartphone,Chrome Mobile,False
control,0,2020-07-10,Samsung SM-G950F,Facebook,False
control,20,2020-07-09,Generic Smartphone,Chrome Mobile,True
exposed,7,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,7,2020-07-10,HTC Desire $2,Chrome Mobile,True
control,16,2020-07-08,Samsung SM-G930F,Chrome Mobile WebView,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,16,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,15,2020-07-10,Generic Smartphone,Chrome Mobile,True
exposed,10,2020-07-06,I3312,Chrome Mobile WebView,True
exposed,1,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,9,2020-07-03,A0001,Chrome Mobile WebView,True
exposed,14,2020-07-10,Samsung SM-N960F,Samsung Internet,False
exposed,14,2020-07-04,Generic Smartphone,Chrome Mobile,False
exposed,18,2020-07-09,Samsung SM-J330FN,Samsung Internet,True
exposed,14,2020-07-04,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Samsung SM-A320FL,Samsung Internet,False
control,15,2020-07-03,Samsung SM-N950F,Chrome Mobile WebView,False
exposed,5,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,1,2020-07-10,Generic Smartphone,Chrome Mobile,False
control,7,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,7,2020-07-05,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-08,Samsung SM-A405FN,Samsung Internet,False
exposed,18,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,10,2020-07-04,LG-$2,Chrome Mobile,True
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,10,2020-07-04,Generic Smartphone,Chrome Mobile,False
exposed,22,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,9,2020-07-04,Samsung SM-A505FN,Samsung Internet,False
exposed,9,2020-07-07,Samsung SM-G900F,Samsung Internet,False
control,21,2020-07-09,Generic Smartphone,Chrome Mobile,True
exposed,4,2020-07-07,Generic Smartphone,Chrome Mobile,False
exposed,15,2020-07-08,MRD-LX1,Chrome Mobile,True
control,13,2020-07-09,Samsung SM-G986B,Chrome Mobile WebView,False
control,15,2020-07-03,Samsung SM-A505FN,Facebook,True
exposed,5,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Samsung SM-G973F,Samsung Internet,False
exposed,10,2020-07-03,EVR-N29,Chrome Mobile WebView,False
exposed,5,2020-07-06,Generic Smartphone,Chrome Mobile,False
exposed,10,2020-07-05,I3312,Chrome Mobile WebView,False
control,11,2020-07-04,Generic Smartphone,Chrome Mobile,False
exposed,15,2020-07-09,Generic Smartphone,Chrome Mobile WebView,True
exposed,15,2020-07-10,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,1,2020-07-06,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,4,2020-07-05,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,5,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,14,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Samsung SM-G960F,Chrome Mobile WebView,False
exposed,9,2020-07-03,Samsung SM-A202F,Chrome Mobile WebView,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,10,2020-07-07,LYA-L09,Chrome Mobile WebView,False
exposed,12,2020-07-08,Samsung SM-G610F,Chrome Mobile WebView,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,14,2020-07-07,Generic Smartphone,Chrome Mobile,True
exposed,1,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,4,2020-07-06,Generic Smartphone,Chrome Mobile,False
exposed,10,2020-07-04,ANE-LX1,Chrome Mobile WebView,False
exposed,1,2020-07-10,Samsung SM-A920F,Chrome Mobile WebView,False
control,4,2020-07-07,Generic Smartphone,Chrome Mobile,False
exposed,12,2020-07-07,Generic Smartphone,Chrome Mobile,True
control,20,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,4,2020-07-09,Generic Smartphone,Chrome Mobile,True
control,4,2020-07-04,Generic Smartphone,Chrome Mobile,False
exposed,0,2020-07-10,Generic Smartphone,Chrome Mobile WebView,True
control,14,2020-07-10,iPhone,Mobile Safari UI/WKWebView,False
exposed,12,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,7,2020-07-08,Samsung SM-A405FN,Chrome Mobile WebView,False
control,14,2020-07-09,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-10,Samsung SM-G960F,Facebook,True
control,12,2020-07-09,Samsung SM-G950F,Facebook,True
control,7,2020-07-05,Samsung SM-G977B,Facebook,True
control,7,2020-07-10,Generic Smartphone,Chrome Mobile WebView,False
control,12,2020-07-04,iPhone,Mobile Safari,False
exposed,21,2020-07-07,Generic Smartphone,Chrome Mobile,False
exposed,17,2020-07-07,Samsung SM-A515F,Chrome Mobile WebView,False
control,15,2020-07-03,Samsung SM-G980F,Facebook,False
exposed,19,2020-07-08,Generic Smartphone,Chrome Mobile WebView,False
exposed,21,2020-07-07,Samsung SM-A105FN,Facebook,True
control,15,2020-07-03,MAR-LX1A,Facebook,False
exposed,6,2020-07-04,Generic Smartphone,Chrome Mobile,False
exposed,11,2020-07-04,Samsung SM-G950F,Chrome Mobile WebView,True
exposed,11,2020-07-04,Generic Smartphone,Chrome Mobile,False
control,22,2020-07-04,LG-$2,Facebook,True
control,1,2020-07-09,Samsung SM-J415FN,Samsung Internet,True
exposed,16,2020-07-09,Samsung SM-G965F,Samsung Internet,False
exposed,14,2020-07-04,Samsung SM-J610FN,Chrome Mobile WebView,True
exposed,18,2020-07-08,Nokia undefined$2$3,Chrome Mobile,True
exposed,20,2020-07-07,Generic Smartphone,Chrome Mobile,True
control,2,2020-07-05,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,4,2020-07-05,Generic Smartphone,Chrome Mobile,False
exposed,19,2020-07-04,Generic Smartphone,Chrome Mobile,True
control,17,2020-07-04,Generic Smartphone,Chrome Mobile,True
control,8,2020-07-10,Samsung SM-G930F,Chrome Mobile WebView,True
exposed,7,2020-07-10,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Samsung SM-G960F,Facebook,False
control,1,2020-07-06,iPhone,Mobile Safari,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,2,2020-07-10,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,1,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,1,2020-07-09,IMO $2,Chrome Mobile,True
exposed,5,2020-07-07,Generic Smartphone,Chrome Mobile,False
exposed,17,2020-07-08,Samsung SM-G900F,Chrome Mobile WebView,True
exposed,3,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,14,2020-07-07,Samsung SM-A320FL,Samsung Internet,False
exposed,18,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Samsung SM-G960F,Facebook,False
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,4,2020-07-06,Generic Smartphone,Chrome Mobile,True
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,21,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,15,2020-07-04,Generic Smartphone,Chrome Mobile,False
control,3,2020-07-10,VFD 820,Chrome Mobile WebView,False
control,10,2020-07-06,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,14,2020-07-04,Samsung SM-G965F,Chrome Mobile WebView,True
control,6,2020-07-07,Generic Smartphone,Chrome Mobile,True
exposed,19,2020-07-08,Samsung SM-G960F,Chrome Mobile WebView,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,22,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,6,2020-07-07,Samsung SM-A505FN,Chrome Mobile WebView,False
exposed,20,2020-07-09,CLT-L09,Facebook,False
exposed,11,2020-07-04,Generic Smartphone,Chrome Mobile,True
exposed,23,2020-07-09,Generic Smartphone,Chrome Mobile,True
control,7,2020-07-06,Generic Smartphone,Chrome Mobile,False
exposed,14,2020-07-05,Generic Smartphone,Chrome Mobile,True
control,11,2020-07-04,Samsung SM-A530F,Samsung Internet,True
control,17,2020-07-04,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Samsung SM-G960F,Chrome Mobile WebView,False
exposed,6,2020-07-06,Generic Smartphone,Chrome Mobile,True
control,18,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,18,2020-07-08,Samsung SM-G950F,Chrome Mobile WebView,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,LG-$2,Chrome Mobile WebView,False
exposed,5,2020-07-03,XiaoMi MI MAX 3,Chrome Mobile WebView,True
exposed,18,2020-07-08,Samsung SM-G950F,Chrome Mobile WebView,True
control,9,2020-07-10,Generic Smartphone,Chrome Mobile,True
exposed,7,2020-07-09,Samsung SM-G960F,Chrome Mobile WebView,True
exposed,19,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,7,2020-07-06,Nokia$2$3,Chrome Mobile WebView,True
control,12,2020-07-05,Generic Smartphone,Chrome Mobile,False
exposed,1,2020-07-07,Samsung SM-G960F,Chrome Mobile WebView,False
exposed,3,2020-07-10,Generic Smartphone,Chrome Mobile,True
exposed,19,2020-07-04,Samsung SM-G935F,Samsung Internet,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,19,2020-07-07,Generic Smartphone,Chrome Mobile,True
exposed,7,2020-07-05,Pixel 4,Chrome Mobile WebView,False
exposed,5,2020-07-04,Generic Smartphone,Chrome Mobile,True
control,11,2020-07-09,Samsung SM-J600FN,Samsung Internet,False
control,15,2020-07-10,Samsung $2,Samsung Internet,True
exposed,11,2020-07-07,Generic Smartphone,Chrome Mobile,False
exposed,4,2020-07-10,I3312,Facebook,False
control,5,2020-07-09,Samsung SM-G960F,Chrome Mobile WebView,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
control,8,2020-07-04,Generic Smartphone,Chrome Mobile,True
exposed,13,2020-07-04,F3311,Chrome Mobile WebView,True
control,15,2020-07-03,Samsung SM-G960F,Samsung Internet,True
control,15,2020-07-03,Samsung SM-A405FN,Samsung Internet,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,4,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,9,2020-07-09,iPhone,Mobile Safari,True
control,15,2020-07-03,Samsung SM-G930F,Samsung Internet,False
exposed,11,2020-07-03,Generic Smartphone,Facebook,True
exposed,18,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,11,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,4,2020-07-10,Generic Smartphone,Chrome Mobile,True
exposed,12,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,17,2020-07-09,Samsung SM-G965F,Chrome Mobile WebView,True
control,5,2020-07-10,Pixel 3,Facebook,True
exposed,7,2020-07-05,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
control,7,2020-07-10,Samsung SM-G950F,Chrome Mobile WebView,False
exposed,22,2020-07-09,Samsung SM-A600FN,Chrome Mobile WebView,True
control,21,2020-07-07,Generic Smartphone,Chrome Mobile,False
control,5,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,14,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,0,2020-07-10,Samsung SM-G975F,Facebook,True
control,15,2020-07-03,iPhone,Mobile Safari,False
exposed,16,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,21,2020-07-08,Samsung SM-G950F,Chrome Mobile WebView,True
exposed,14,2020-07-03,Samsung SM-G935F,Chrome Mobile WebView,False
exposed,15,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,6,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,17,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,12,2020-07-04,Samsung SM-A300FU,Facebook,False
control,9,2020-07-09,Samsung SM-A105FN,Samsung Internet,True
control,19,2020-07-08,Samsung SM-A105FN,Samsung Internet,True
exposed,12,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,9,2020-07-07,Generic Smartphone,Facebook,False
exposed,17,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,11,2020-07-09,Generic Smartphone,Chrome Mobile,True
exposed,13,2020-07-04,Generic Smartphone,Chrome Mobile,False
control,21,2020-07-07,Generic Smartphone,Chrome Mobile,True
control,12,2020-07-10,LG-$2,Chrome Mobile,True
exposed,21,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,5,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,17,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,16,2020-07-05,Samsung SM-G955F,Facebook,True
exposed,16,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,5,2020-07-08,Pixel 2,Chrome Mobile WebView,False
control,15,2020-07-03,Samsung SM-A405FN,Samsung Internet,True
exposed,7,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,13,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,12,2020-07-04,Generic Smartphone,Chrome Mobile,False
exposed,6,2020-07-07,Generic Smartphone,Chrome Mobile WebView,True
exposed,5,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,3,2020-07-03,Samsung SM-G960F,Chrome Mobile WebView,False
exposed,10,2020-07-06,Samsung SM-G950F,Chrome Mobile WebView,False
control,15,2020-07-03,EML-L09,Chrome Mobile WebView,False
exposed,7,2020-07-04,OnePlus ONEPLUS A5010,Chrome Mobile WebView,True
exposed,6,2020-07-04,Samsung SM-G950F,Chrome Mobile WebView,False
control,15,2020-07-03,Samsung SM-G770F,Samsung Internet,False
exposed,17,2020-07-09,Samsung SM-A405FN,Samsung Internet,False
control,4,2020-07-06,Generic Smartphone,Chrome Mobile,False
exposed,2,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,11,2020-07-09,Samsung SM-A202F,Samsung Internet,True
exposed,15,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,22,2020-07-08,Samsung SM-G973F,Facebook,False
exposed,11,2020-07-03,Samsung SM-A505FN,Chrome Mobile WebView,False
exposed,13,2020-07-04,Generic Smartphone,Chrome Mobile,True
exposed,12,2020-07-07,Generic Smartphone,Chrome Mobile,False
exposed,2,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,21,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,3,2020-07-09,Generic Smartphone,Chrome Mobile,True
exposed,7,2020-07-03,TA-1033,Chrome Mobile WebView,True
control,0,2020-07-06,Pixel 3,Facebook,True
control,15,2020-07-03,Samsung SM-G965F,Facebook,False
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Samsung SM-A105FN,Chrome Mobile,True
control,8,2020-07-07,Samsung SM-J330FN,Samsung Internet,False
control,18,2020-07-09,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
control,14,2020-07-08,Samsung SM-A202F,Chrome Mobile WebView,False
exposed,13,2020-07-03,Generic Smartphone,Chrome Mobile,True
exposed,19,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,14,2020-07-07,Generic Smartphone,Chrome Mobile,False
exposed,12,2020-07-05,Samsung SM-G960F,Facebook,True
exposed,6,2020-07-10,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,13,2020-07-09,Pixel 3a,Chrome Mobile WebView,True
control,9,2020-07-04,Samsung SM-G935F,Facebook,False
exposed,18,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,2,2020-07-07,Samsung SM-G973F,Samsung Internet,False
control,0,2020-07-10,Samsung SM-G960F,Facebook,False
exposed,14,2020-07-08,Samsung SM-G960F,Chrome Mobile WebView,True
exposed,10,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,18,2020-07-08,Samsung SM-J600FN,Chrome Mobile WebView,False
exposed,0,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,13,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,1,2020-07-07,Samsung SM-N976B,Chrome Mobile WebView,True
exposed,12,2020-07-03,Samsung SM-A505FN,Chrome Mobile WebView,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
control,11,2020-07-04,LG-$2,Chrome Mobile,True
exposed,2,2020-07-10,Generic Smartphone,Chrome Mobile,True
exposed,15,2020-07-08,Pixel 4,Chrome Mobile WebView,False
exposed,0,2020-07-10,Generic Smartphone,Chrome Mobile,False
control,13,2020-07-07,Generic Smartphone,Chrome Mobile,True
control,0,2020-07-09,Samsung SM-A505FN,Chrome Mobile WebView,True
control,12,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,17,2020-07-04,Generic Smartphone,Chrome Mobile,False
exposed,6,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,11,2020-07-08,Samsung SM-N950F,Facebook,False
exposed,6,2020-07-04,Samsung $2,Chrome Mobile WebView,False
exposed,4,2020-07-05,Generic Smartphone,Chrome Mobile,False
exposed,5,2020-07-08,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Samsung SM-A405FN,Samsung Internet,False
control,3,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,0,2020-07-10,Samsung SM-A202F,Chrome Mobile WebView,True
exposed,16,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,8,2020-07-09,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Samsung SM-G988B,Chrome Mobile WebView,False
exposed,15,2020-07-05,Generic Smartphone,Chrome Mobile,True
exposed,9,2020-07-06,Generic Smartphone,Chrome Mobile,True
control,6,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,17,2020-07-04,Samsung SM-G975F,Samsung Internet,True
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,True
control,1,2020-07-04,Generic Smartphone,Chrome Mobile,False
control,15,2020-07-03,Samsung SM-G920F,Chrome Mobile WebView,False
exposed,19,2020-07-08,Generic Smartphone,Chrome Mobile,True
control,20,2020-07-04,Generic Smartphone,Chrome Mobile,True
exposed,13,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,22,2020-07-08,Generic Smartphone,Chrome Mobile,False
exposed,9,2020-07-09,Generic Smartphone,Chrome Mobile,False
exposed,15,2020-07-10,Generic Smartphone,Chrome Mobile,False
exposed,16,2020-07-08,Samsung SM-A202F,Chrome Mobile WebView,False
control,15,2020-07-03,Generic Smartphone,Chrome Mobile,False
exposed,4,2020-07-06,Generic Smartphone,Chrome Mobile,True
exposed,6,2020-07-04,Samsung SM-G965F,Chrome Mobile WebView,True
control,9,2020-07-09,Samsung SM-A202F,Chrome Mobile WebView,True
exposed,10,2020-07-07,Generic Smartphone,Chrome Mobile,True
control,11,2020-07-04,Generic Smartphone,Chrome Mobile,True
exposed,20,2020-07-09,Generic Smartphone,Chrome Mobile,True
exposed,12,2020-07-03,OnePlus ONEPLUS A6013,Chrome Mobile WebView,True
exposed,2,2020-07-04,ANE-LX1,Facebook,True
exposed,20,2020-07-08,Generic Smartphone,Chrome Mobile,True
exposed,10,2020-07-03,Samsung SM-G970F,Chrome Mobile WebView,True
